Servide Code,Service Name en,Service Name ar,Net Price,start date for Net Price
281,SKIN TRACTION,شده جلديه للعظام,717.5,4/17/24
282,ROLL FOR SKIN TRACTION,روافع شده جلدية لحالات الكسور,147,4/17/24
283,SCAPHOID CAST ,جبس زورقى ,875,4/17/24
284,SCAPHOID CAST PED,جبس زورقى أطفال,717.5,4/17/24
285,SHOULDER SPIKA,جاكيت جبس,1711.5,4/17/24
286,SHOULDER SPIKA PED,جاكيت جبس أطفال,1144.5,4/17/24
287,SLAB FOR WRIST,سلاب للرسغ,490,4/17/24
288,THOMAS SPLINT,جبيره فخذ,717.5,4/17/24
289,U SLAB,سلاب يو,868,4/17/24
290,U SLAB PED,سلاب يو أطفال,717.5,4/17/24
291,WINDOW,عمل شباك,196,4/17/24
292,HIP SPIKA,بنطلون جبس كبار,1711.5,4/17/24
293,HIP SPIKA PED,بنطلون جبس أطفال,1235.5,4/17/24
294,INTRA-ARTICULAR INJECTION with PRP ,حقن موضعى عظام مفاصل باستخدام البلازما  ,7035,4/17/24
295,NASAL PACK,تركيب فتيل,336,4/17/24
296,CORD REMOVAL, رفع فتيل ,164.5,4/17/24
297,ANTERIOR NASAL PACKING,حشو أنف أمامى,717.5,4/17/24
298,POST NASAL PACKING,حشو أنف خلفي,1099,4/17/24
299,BIOPSY FROM ANY ENT MASS LESION UNDER LOCAL ANAESTHESIA (NOT INCLUDING SAMPLE PRICE ),أخذ عينة من تورم بالأذن أو الأنف أو الحنجرة تحت مخدر موضعي (لا تشمل سعر العينة),1099,4/17/24
300,DIAGNOSTIC LARYNGOSCOPE,منظار حنجرى تشخيصي,717.5,4/17/24
301,E.N.T ENDOSCOPY CAMERA USE ,استخدام كاميرا على المنظار بعيادة الأنف والأذن والحنجرة,210,4/17/24
302,EAR PACKING,حشو أذن,987,4/17/24
303,EAR SUCTION,شفط من الاذن ,490,4/17/24
304,EAR WASH (BOTH EARS),غسيل للاذنين,430.5,4/17/24
305,EAR WASH (ONE EAR),غسيل اذن واحدة,283.5,4/17/24
306,ENDOSCOPIC NASAL SINUS UNDER LOCAL ANAESTHESIA,فحص جيوب أنفية بالمنظار تحت مخدر موضعي,602,4/17/24
307,EXTRACTION OF FB (ENT),استخراج جسم غريب أنف وأذن,752.5,4/17/24
308,FIBER OPTIC LARYNGOSCOPE,منظار حنجرة ضوئي,1099,4/17/24
309,FLEXIBLE LARYNGOSCOPE,منظار حنجرة مرن,1099,4/17/24
310,nasel bleeding caturization unilateral,كي لنزيف الانف جانب واحد,896,4/17/24
311, nasel bleeding caturization bilateral,كي لنزيف الانف جانبين,1547,4/17/24
312,INCISION & DRAINAGE OF TONSILLAR ABCESS (QUINSY) UNDER LOCAL ANESTHESIA,فتح وتصريف خراج حول اللوزتين تحت مخدر موضعي,1099,4/17/24
313,NASAL ENDOSCOPY (DIAGNOSTIC),منظار أنف (تشخيصى),717.5,4/17/24
314,NASAL SUCTION,تشفيط من الأنف,378,4/17/24
315,PHARYNGEAL SUCTION,تشفيط من البلعوم,378,4/17/24
316,TONSIL SWAP,مسحة للوزتين ,1099,4/17/24
317,NEONATAL HEARING SCREENING ,مسح سمعي للأطفال ,490,4/17/24
318,CRYOTHERAPY FOR THE MOUTH CAVITY / SESSION ,كى بالتبريد لتجويف الانف و الفم / الجلسة,2271.5,4/17/24
319,CLOSED REDUCTION OF SIMPLE FRACTURED NASAL BONE UNDER LOCAL ANAESTHESIA,رد كسر بسيط بالأنف تحت مخدر موضعي + جبيرة خارجية,1452.5,4/17/24
320,COBLATOR ,جهاز الكى بالبلازما (كوبلاتور),10934,4/17/24
321,intratampanic injection with steroid using microscope,حقن طبلة الاذن بالاستيرويد باستخدام الميكروسكوب,2432.5,4/17/24
322,COMPUTERIZED AUDIOGRAM,قياس رسم سمع بالكمبيوتر اكتشاف مبكر لضعف السمع من خلال فحص إستجابة جذع المخ للمؤثرات السمعية,1099,4/17/24
323,AUDITORY BRAIN STEM RESPONSE (ABR),"مراجعة استجابة جذع الدماغ
",1407,4/17/24
324,BALANCE TRAINING,تمرين الاتزان ,1330,4/17/24
325,OTOACOUSTIC EMISSION (OAE),قياس سمع بالرنين الصوتي,644,4/17/24
326,REFLEX AUDITORY,مقياس الانعكاس الصوتي,1095.5,4/17/24
327,SPEECH DISCRIMINATION,اختبار تفسير الكلام,490,4/17/24
328,TYMPANOMETRY,قياس ضغط أذن,567,4/17/24
329,EPLEYS MANEUVER / EXCERCISE FOR BENIGN POSITIONAL VERTIGO,تدريبات إيبلي الحركية لعلاج الدوار الحركي,490,4/17/24
330,VIDEONYSTAGMOGRAPHY (VNG),رسم اتزان بالكمبيوتر,1547,4/17/24
331,EUSTACHIAN TUBE FUNCTION TEST,قياسات سمعية لقناة أستكيوس,1578.5,4/17/24
332,REPOSITIONING MANEUVER FOR VERTIGO,اختبار دوار الرأس,1578.5,4/17/24
333,E.E.G (OUTPATIENT),رسم مخ بالعيادات الخارجية,1365,4/17/24
334,SINGLE MUSCLE E.M.G,اختبار عضلة واحدة,1235.5,4/17/24
335,MUSCLE E.M.G - AFTER THE FIRST MUSCLE,اختبار عضلة - بعد أول عضلة,987,4/17/24
336,E.M.G / LIMB,اختبار عضلة / للطرف,1235.5,4/17/24
337,ELECTRONEUROGRAPHY (ENG),اختبار عصب,1190,4/17/24
338,NERVE CONDUCTION -1ST NERVE,اختبار عصب - رسم أول عصب,791,4/17/24
339,NERVE CONDUCTION - AFTER 1ST NERVE,اختبار عصب - رسم العصب بعد أول عصب,553,4/17/24
340,NERVE CONDUCTION / LIMB,اختبار عصب /  للطرف,1235.5,4/17/24
341,RESERVOIR TAPPING,بذل من الجزء الأوسط من الصمام الثلاثى,731.5,4/17/24
342,E.E.G UP TO 3 HOURS,رسم مخ  حتى 3 ساعات,2103.5,4/17/24
343,E.E.G (INPATIENT) FROM 3 TO 24 HOURS - WITHOUT ACCOMODATION FEES,رسم مخ (مريض داخلي) من 3 ساعات حتى 24 ساعة (بدون رسوم إقامة),5554.5,4/17/24
344,PSYCHOTHERAPY SESSION – INPATIENT,جلسة علاج نفسي - قسم داخلي,553,4/17/24
345,BIFID EAR LOBULE - ONE SIDE,شق بحلمة الأذن - جانب واحد,3720.5,4/17/24
346,DRESSING FOR BURN (SMALL AREA) 5%,غيار على حرق (مساحه صغيرة) %5,479.5,4/17/24
347,DRESSING FOR BURN (MEDIUM AREA) 5-10%,غيار على حرق (مساحه متوسطة) 5-10%,553,4/17/24
348,DRESSING FOR BURN (LARGE AREA) 10-15%,غيار على حرق (مساحه كبيرة) 10-15%,833,4/17/24
349,HYPERTROPHIC KELOID SCAR INJECTION,حقن ندبات,644,4/17/24
350,PLASTIC STITCHES LESS THAN 2 CM,غرز تجميل أقل من 2 سم,875,4/17/24
351,PLASTIC STITCHES 2-3.5 CM,غرز تجميل 2-3.5 سم,1099,4/17/24
352,PLASTIC STITCHES 3.5-5 CM,غرز تجميل 3.5-5 سم,1235.5,4/17/24
353,PLASTIC SURGERY DRESSING ,غيار علي الجروح التجميلية,644,4/17/24
354,CHALAZION EXTRACTION ,إزالة كيس دهني,1235.5,4/17/24
355,FUNDAL EXAMINATION,فحص قاع عين,738.5,4/17/24
356,GLASSES EX WITH COMPUTER,كشف نظاره بالكمبيوتر,283.5,4/17/24
357,HAIR ELECTROLYSIS - SINGLE EYE,إزالة شعرة بالكهرباء بعين واحدة,1064,4/17/24
358,OCCULAR TENSION,قياس ضغط العين,304.5,4/17/24
359,PTC EXTRACTION,إزالة حبوب بجفن العين,875,4/17/24
360,REMOVAL OF CORNEAL FOREIGN BODY,إزالة رايش او جسم غريب بالقرنية,1064,4/17/24
361,STYE,فتح دمل,1424.5,4/17/24
362,ADHD (ATTENTION DEFICIT HYPERACTIVITY DISORDERS) TEST,اختبار لفرط الحركة وتشتت الانتباه,490,4/17/24
363,CARS TEST (CHILDHOOD AUTISM RATING SCALE),اختبار كارز (مقياس التوحد في مرحلة الطفولة),490,4/17/24
364,COGNITIVE BEHAVIORAL THERAPY SESSIONS,   جلسات علاج سلوكي أو معرفي للأطفال,409.5,4/17/24
365,DENVER'S DEVELOPMENTAL SCREENING TEST, اختبار دنفر للنمو والتطور,490,4/17/24
366,HAMILTON DEPRESSION SCALE,مقياس هاميلتون للاكتئاب,283.5,4/17/24
367,IQ TEST,اختبار ذكاء,717.5,4/17/24
368,M – CHAT,اختبار للتوحد في الأطفال أقل من 30 شهر,283.5,4/17/24
369,POSITIVE PARENTING TRAINING,جلسات الأبوة الإيجابية (للآباء),409.5,4/17/24
370,SPEECHES SESSION,جلسة تخاطب,374.5,4/17/24
371,SPENCE ANXIETY SCALE,اختبار سبنس للقلق لدى الأطفال,409.5,4/17/24
372,STANFORD - BINET INTELLIGENCE SCALES (5TH EDITION),اختبار ستانفورد بينيه للذكاء لدى الأطفال (الصورة الخامسة),2247,4/17/24
373,AUTISM ASSESSMENT SKILL,مهارة تقييم التوحد,1029,4/17/24
375,digital periapical x-ray,فيلم اشعة اسنان صغير,175,4/17/24
376,panoramic x-ray ( opg ),اشعة بانوراما,339.5,4/17/24
377,cone beam C.T (quaderant ),اشعة ثلاثية الابعاد ( جزئية ),682.5,4/17/24
378,cone beam C.T ( one jaw ),اشعة ثلاثية الابعاد ( فك واحد ),987,4/17/24
379,cone beam C.T ( full mouth ),اشعة ثلاثية الابعاد (كامل الفكين ),2268,4/17/24
380,Lateral cephalometric radiograph,اشعة سيفالومتر,378,4/17/24
382,COMPOSITE FILLING FOR ANTERIOR (ONE SURFACE)           ,حشو كومبوزيت للأسنان الأمامية لسطح واحد,1060.5,4/17/24
383,COMPOSITE FILLING FOR ANTERIOR (TWO SURFACE)           ,حشو كومبوزيت للأسنان الأمامية لسطحين,1211,4/17/24
384,COMPOSITE FILLING FOR ANTERIOR (MORE TWO SURFACE)           ,حشو كومبوزيت للأسنان الأمامية لأكثر من سطحين,1512,4/17/24
385,COMPOSITE FILLING FOR POSTERIOR (ONE SURFACE)           ,حشو كومبوزيت للأسنان الخلفية لسطح واحد,1060.5,4/17/24
386,COMPOSITE FILLING FOR POSTERIOR (TWO SURFACES)           ,حشو كومبوزيت للأسنان الخلفية لسطحين,1211,4/17/24
387,COMPOSITE FILLING FOR POSTERIOR (MORE TWO SURFACES)           ,حشو كومبوزيت للأسنان الخلفية لأكثر من سطحين,1512,4/17/24
388,FIBER POST + COMPOSITE CORE,حشو كمبوزيت + وتد من الفيبر,1816.5,4/17/24
389,METAL POST + COMPOSITE CORE.,حشو كمبوزيت + وتد من المعدن,1211,4/17/24
390,Composite filling & fixation of pins for anterior teeth ,حشو كمبوزيت مع تثبيت مسامير للاسنان الامامية,1365,4/17/24
391,Composite filling & fixation of pins for posterior teeth ,حشو كمبوزيت مع تثبيت مسامير للاسنان الخلفية,1365,4/17/24
392,Amalgam filling  (1 surface),حشو مملغم ( سطح واحد),910,4/17/24
393,Amalgam filling ( 2 surface),حشو مملغم ( سطحين ),910,4/17/24
394,Amalgam filling + pins fixation,حشو مملغم مع مسامير تثبيتية ,1211,4/17/24
395,Amalgam filling + post fixation,حشو مملغم مع وتد تثبيتي,1365,4/17/24
396,Pits& fissure sealants for adults,مانع التسوس للضرس الواحد- بالغ,756,4/17/24
397,Filling porcelain with Cerec 2 ***,حشو بورسلين مع جهاز cerec ***,1963.5,4/17/24
398,Filling glass ionomer,حشو ابيض زجاجي,1365,4/17/24
399,composite cuspal coverage,حشو كمبوزيت لتغطية نتوء ضرس خلفي,1662.5,4/17/24
400,posterior composite build up,حشو كمبوزيت لبناء ضرس خلفي,1512,4/17/24
401,posterior MOD composite,حشو MOD كمبوزيت,1253,4/17/24
402,custom post & core,وتد ودعامة للترميم,2268,4/17/24
403,flawable composite,حشو كمبوزيت سائل,1365,4/17/24
404,Fluoride application for anterior & posterior teeth (3 Visits),دهان الاسنان بمادة الفلوريد,756,4/17/24
405,Laminate composite for anterior teeth,قشرة كمبوزيت تجميليه للاسنان الامامية,3773,4/17/24
406,TREATMENT OF DENTIN HYPERSENSITIVITY PER TOOTH         ,علاج موضعى لحساسية الأسنان/ للسنة الواحدة,910,4/17/24
407,SEDATIVE  Temporery FILLING           ,حشو مؤقت مهدئ,157.5,4/17/24
409,ROOT CANAL TREATMENT FOR ANTERIOR ,علاج عصب وحشو للأسنان الأمامية بجهاز الروتراي,3024,4/17/24
410,ROOT CANAL TREATMENT FOR POSTERIOR  ,علاج عصب وحشو للأسنان الخلفية  بجهاز الروتراي,3773,4/17/24
411,RCT - RE-TREATMENT FOR ANTERIORS,اعادة حشو عصب للاسنان الامامية  بجهاز الروتراي,3321.5,4/17/24
412,RCT - RE-TREATMENT FOR MOLARS,اعادة حشو عصب للاسنان الخلفية  بجهاز الروتراي,3927,4/17/24
413,RCT FOR ABERRANT MORPHOLOGY - ANT. AND PRE- MOLAR,حشو عصب لجذور مائلة اسنان امامية  بجهاز الروتراي,3773,4/17/24
414,RCT - RE-TREATMENT FOR aberrant morphology MOLARS,حشو عصب لجذور مائلة اسنان خلفية  بجهاز الروتراي,4529,4/17/24
415,RCT OF INFECTED CANALS FOR ANTERIOR ,حشو  عصب مصاب بعدوي اسنان امامية  بجهاز الروتراي,3773,4/17/24
416,RCT OF INFECTED CANALS FOR POSTERIOR,حشو عصب مصاب بعدوي اسنان خلفية  بجهاز الروتراي,4231.5,4/17/24
417,RCT FOR ANTERIOR TOOTH BY MICROSCOPE ***,حشو عصب اسنان امامية بالميكروسكوب ,3475.5,4/17/24
418,RCT FOR PSTERIOR TOOTH BY MICROSCOPE ***,حشو عصب اسنان  خلفيةبالميكروسكوب,4077.5,4/17/24
419,ENDODONTIC  vital regeneration ,إعادة حيوية العصب,4980.5,4/17/24
420,ENDODONTIC  non-vital infected regeneration ,عادة حيوية العصب مصاب بعدوى ,6041,4/17/24
421,MTA endodontic direct pulp capping,علاج الجزء العلوي من العصب بتغطية مباشرة من MTA,3773,4/17/24
422,APEXIFICATION,علاج عصب للاسنان غير مكتملة النمو,3024,4/17/24
423,SURGERY,الجراحة,0,4/17/24
424,SIMPLE TOOTH EXTRACTION,خلع بسيط,682.5,4/17/24
425,SURGICAL ERUPTED TOOTH EXTRACTION,خلع جراحي لضرس ظاهر,1060.5,4/17/24
426,SURGICAL EXTRACTION OF IMPACTED TOOTH,خلع جراحي لضرس مدفون,2117.5,4/17/24
427,SURGICAL ROOT EXTRACTION ,خلع جذور جراحيا,1365,4/17/24
428,WISDOM EXTRACTION ,خلع ضرس العقل بسيط,1512,4/17/24
429,SURGICAL EXTRACTION OF SOFT TISSUE IMPACTED WISDOM,خلع  جراحي ضرس العقل مدفون تحت الانسجة,2268,4/17/24
430,SURGICAL EXTRACTION OF IMPACTED  VIRTICAL WISDOM ( CLASS 1 ), خلع جراحي ضرس العقل مدفون تحت العظام (مستوي اول ),3024,4/17/24
431,SURGICAL EXTRACTION OF IMPACTED  HORIZONTAL WISDOM ( CLASS 2 ), خلع جراحي ضرس العقل مدفون تحت العظام (مستوي ثان ),3773,4/17/24
432,SURGICAL EXTRACTION OF IMPACTED CANINE ( VIRTICAL),خلع ناب مضمور طوليا,5285,4/17/24
433,SURGICAL EXTRACTION OF IMPACTED CANINE ( HORIZONTAL ),خلع ناب مضمور افقيا,7546,4/17/24
434,SURGICAL EXTRACTION OF IMPACTED  DISTAL INCLINED WISDOM ( CLASS 3 ), خلع جراحي ضرس العقل مدفون تحت العظام (مستوي ثالث),6797,4/17/24
435,CYST EXCISION ( LESS THAN 2 TEETH ) ***,ازالة كيس زلالي (يتضمن اقل من سنتين ),3024,4/17/24
436,CYST EXCISION ( 2 - 4 TEETH ) ***,ازالة كيس زلالي (يتضمن من سنتين الي 4 اسنان ),4529,4/17/24
437,CYST EXCISION ( MORE THAN 4 TEETH ) ***,ازالة كيس زلالي (يتضمن اكثر من 4 اسنان ),8302,4/17/24
438,CYST EXCISION ( MORE THAN 4 TEETH AND NEED SPECIAL SKILLS ) ***,ازالة كيس زلالي (يتضمن اكثر من 4 اسنان ويحتاج مهارة خاصة ),13583.5,4/17/24
439,CYST MARCIPULIZATION *,فتح وتهوية كيس او ورم,6041,4/17/24
440,INCISION & DRAINAGE OF INTRA ORAL ABSCESS *,فتح وكحت خراج اسنان داخل الفم جراحيا,1060.5,4/17/24
441,INCISION & DRAINAGE OF EXTRA ORAL ABSCESS *,فتح وكحت خراج اسنان خارج الفم جراحيا,1512,4/17/24
442,ABSCESS DEBRIEDMENT ***,تنظيف خراج اسنان,682.5,4/17/24
443,GINGIVAL INCISION,قطع لثوي,756,4/17/24
444,APICECTOMY PER TOOTH,عملية ازالة اخر الجذر جراحيا,3024,4/17/24
445,INCISIONAL BIOBSY ***,عينة من النسيج الداخلي,1512,4/17/24
446,EXCISIONAL BIOBSY ( LESS THAN 2 CM )*,عينة مع ازالة النسيج الداخلي اقل من 2 سم,2268,4/17/24
447,BONE AUGMENTATION ( UP TO 1 MML ) ,زراعة عظام صناعية 1 ملم,4529,4/17/24
448,BONE AUGMENTATION ( 1  TO  5 MML ) ,زراعة عظام صناعية من 1 ملم حتي 5 ملم,7546,4/17/24
449,MEMBRANE OR MESH PLACEMENT,تثبيت غشاء او شبكة,2268,4/17/24
450,GINGIVECTOMY ONE ARCH,قص اللثة جراحيا فك واحد,2268,4/17/24
451,GINGIVECTOMY FULL MOUTH,قص اللثة جراحيا للفكين,4529,4/17/24
452,GINGIVOPLASTY ONE ARCH ***,ترميم حافة اللثة فك واحد,3773,4/17/24
453,GINGIVOPLASTY FULL MOUTH ***,ترميم حافة اللثة  فكين,6797,4/17/24
454,ALVEOPLASTY FOR ONE SIDE  ***,ترميم حافة العظام,1512,4/17/24
455,ALVEOLECTOMY,ازلة زوائد عظمية بالفك,3024,4/17/24
456,EXCISION OF BENIGN TUMOR ( UP TO 2 CM ),ازالة ورم حميد ( حتي 2 سم ),3773,4/17/24
457,EXCISION OF BENIGN TUMOR ( UP TO 4 CM ),ازالة ورم حميد ( حتي 4 سم ),6041,4/17/24
458,EXCISION OF BENIGN TUMOR ( MORE THAN 4 CM ),ازالة ورم حميد ( اكبر من  4 سم ),13583.5,4/17/24
459,LABIAL OR LINGUAL FRENECTOMY,شق لجام اللسان او الشفاه,1211,4/17/24
460,BONE EXPENSION ,توسيع العظام,6797,4/17/24
461,SINUS ELEVATION OR LIFTING,رفع الجيب الانفي ,7546,4/17/24
462,DRY SOCKET TREATMENT 2 VISIT,علاج السنخ الجاف/ جلستان,1211,4/17/24
463,BLEEDING STABILIZATION AFTER EXTRACTION,علاج نزيف بعد الخلع,868,4/17/24
464,BONE GRAFTING IN PERIODONTAL POCKET DEFECT,ترقيع عظمي في جيب لثوي,7546,4/17/24
465,OPERCULECTOMY,ازالة اللحمية حول ضرس العقل,1211,4/17/24
466,Intermaxillary fixation for TMJ dysfunction,تثبيت الفكين لعلاج مفصل الفك,7546,4/17/24
467,Intermaxillary fixation ( CLOSED REDUCTION ),اصلاح كسر بالفك بدون فتح جراحي,8200.5,4/17/24
468,REMOVAL OF SMALL FIBROMA / LIPOMA ***,ازالة ورم شحمي او ليفي صغير(اقل من 4 سم ),3773,4/17/24
469,REMOVAL OF LARGE FIBROMA / LIPOMA ***,ازالة ورم شحمي او ليفي كبير(اكتر من 4 سم),6041,4/17/24
470,LAVAGE OF TMJ ( ARTHROCENTHESIS ) / SIDE / VISIT ***,غسيل وفك تصلب  مفصل الفك ( جهة واحدة )/ الجلسة الواحدة,3773,4/17/24
471,TMJ INJECTION ***,حقن مفصل الفك بادوية,3283,4/17/24
472,SOFT TISSUE GRAFT,ترقيع لثوي,3829,4/17/24
473,SURGICAL STENT / GUIDE ( LAB ),جهاز مرشد جراحي في المعمل,3024,4/17/24
474,SURGICAL STENT / GUIDE  ( CEREC ) ***,جهاز مرشد جراحي (CEREC),3773,4/17/24
476,Metal crown with porcelain facing,طربوش معدني بسطح بورسلين,1963.5,4/17/24
477,Porcelain crown ( PFM ),طربوش بورسلين  ( PFM ),3024,4/17/24
478,E-MAX CROWN,طربوش اي ماكس,6797,4/17/24
479,Xirconium crown,طربوش زيركونيوم,5736.5,4/17/24
480,XIrconium inlay / ENDOCROWN,حشو زيركونيوم داخلي صب,4529,4/17/24
481,INDIRECT CERAMIC Laminate /ONLAY,حشو خزفي من سيراميك,3773,4/17/24
482,laminate  ,قشرة خزفيه (  لومينات ),6041,4/17/24
483,CAD /CAM CROWN ( CEREC ) ***,تركيبة سيراميك باستخدام تقنية سيريك,7546,4/17/24
484,PORCALIN REPAIR ( CLINIC ) ***,تصليح طربوش بورسلين  ( في العيادة ),1816.5,4/17/24
485,PORCALIN REPAIR ( LAB ),تصليح طربوش بورسلين  ( في المعمل ),1365,4/17/24
486,Milled temporary acrylic crown,طربوش مؤقت مخروط في المعمل للسن الواحد,609,4/17/24
487,Milled temporary acrylic crown ( CEREC) ***,طربوش مؤقت مخروط في العيادة للسن الواحد,1211,4/17/24
488,STUDY CAST,قالب لدراسة الاسنان,304.5,4/17/24
489,MOCK UP,بروفة تجميل الاسنان,609,4/17/24
490,CEMENTATION / TOOTH,لزق طربوش للسن الواحد,609,4/17/24
491,TWINKLE,تركيب لؤلؤة تجميلية,756,4/17/24
493,Complete denture,طقم كامل  ,15092,4/17/24
494,half denture ( upper or lower ),نصف طقم ( علوي او سفلي ),8302,4/17/24
495,COMPLETE SOFT denture (flexiable ),طقم كامل مرن,18112.5,4/17/24
496,half soft denture ( upper or lower ),نصف طقم مرن ( علوي او سفلي ),9814,4/17/24
497,Acrylic partial denture (first tooth),طقم جزئي ( اول سن ),2719.5,4/17/24
498,Each additional tooth,كل سنة اضافية,910,4/17/24
499,VITALLIUM DENTURE ( ONE ARCH ),تركيبة فيتاليوم فك واحد,9058,4/17/24
500,VITALLIUM DENTURE ( BOTH ARCH ),تركيبة فيتاليوم فكين,12075,4/17/24
501,DENTURE RELINING /REBASE,بطانة للطقم الفك الواحد,3773,4/17/24
502,DENTURE REPAIR,تصليح للطقم,1060.5,4/17/24
503,NIGHT GUARD,جهاز حماية الاسنان,1512,4/17/24
504,OCCLUSAL SPILINT / ADJUSTMENT,جهاز اطباق الفك / الاسنان,3024,4/17/24
506,EXTRACTION ( PEDO ),خلع اسنان اطفال,682.5,4/17/24
507,AMALGAM FILLING ( PEDO ),حشو مملغم اطفال,833,4/17/24
508,COMPOSITE FILLING ( PEDO ),حشو ابيض كمبوزيت اطفال,1060.5,4/17/24
509,GLASS INOMER FILLING ( PEDO ),حشو ابيض زجاجي اطفال,875,4/17/24
510,PULPOTOMY ( PEDO ),حشو عصب اطفال,1512,4/17/24
511,SPACE MAINTAINER UNILATERAL ( PEDO ),حافظ مسافة جانب واحد اطفال,2268,4/17/24
512,SPACE MAINTAINER BILATERAL ( PEDO ),حافظ مسافة جانبين اطفال,3024,4/17/24
513,STAINLESS CROWN ( PEDO ),طربوش معدن اطفال,1211,4/17/24
514,PIT & Fissure Sealant /TOOTH,مانع التسوس للضرس الواحد- اطفال,756,4/17/24
515,Prophylactic flouride VARNISH /3 VISIT,دهان الاسنان بمادة الفلوريد  اطفال للجلسة,910,4/17/24
516,Zirconia Crown ( PEDO ),طربوش ابيض اطفال,2870,4/17/24
518,SCALING  & GUM TREATMENT (quadrent ),تنظيف جير جزئي,756,4/17/24
519,SCALING & GUM TRATMENT  ( full mouth ),تنظيف جير  كلي,1512,4/17/24
520,TEETH POLISHING,تلميع الاسنان,756,4/17/24
521,ROOT PLANNING & POCKET CURETTAGE / TOOTH,تنظيف جيب لثوي- للسن الواحد,910,4/17/24
522,DEBOND AND POLISHING,فك التقويم وتنظيف كامل,1512,4/17/24
523,surgical gum treatment ,علاج لثة جراحي كامل,15092,4/17/24
525,GINGIVECTOMY PER TOOTH BY LASER,قص اللثة باستخدام تقنية الليزر / للسن الواحد,910,4/17/24
526,GINGIVECTOMY (QUADERENT ) BY LASER,قص اللثة باستخدام تقنية الليزر / للجانب,3321.5,4/17/24
527,OPERCULECTOMY BY LASER,ازالة اللحمية حول ضرس العقل باستخدام تقنية الليزر,1512,4/17/24
528,ROOT CANAL DECONTAMINATION BY LASER,تنظيف القنوات العصبية باستخدام تقنية الليزر,833,4/17/24
529,TONGUE TIE BY LASER,فك لجام اللسان باستخدام تقنية الليزر,2492,4/17/24
530,DEPIGMENTATION BY LASER,ازالة صبغة اللثة باستخدام تقنية الليزر,3773,4/17/24
531,DESENSITIZATION BY LASER,ازالة حساسية الاسنان باستخدام تقنية الليزر,1512,4/17/24
532,ABSCESS DISINFECTION BY LASER,تنظيف خراج اسنان باستخدام تقنية الليزر,1134,4/17/24
534,Examination and Diagnosis (Orthodontic GENERAL),كشف تقويم شامل (الاشعة و تحليل القالب الجبسي وعرض الحالة وخطة العلاج ),1365,4/17/24
535,ORTHODONTICS FIXED SIMPLE FIRST PHASE ( 1ST ),تقويم معدني ثابت بسيط ( مرحلة اولي ),12075,4/17/24
536,ORTHODONTICS FIXED SIMPLE SECOND PHASE ( 2ND ),تقويم  معدني ثابت بسيط ( مرحلة ثانية ),7546,4/17/24
537,ORTHODONTICS FIXED SIMPLE THIRD PHASE ( 3RD ),تقويم معدني ثابت بسيط ( مرحلة ثالثة ),7546,4/17/24
538,ORTHODONTICS FIXED ADVANCED FIRST PHASE ( 1ST ),تقويم معدني ثابت متقدم ( مرحلة اولي ),16600.5,4/17/24
539,ORTHODONTICS FIXED ADVANCED SECOND PHASE (2ND ),تقويم معدني ثابت متقدم ( مرحلة ثانية ),9058,4/17/24
540,ORTHODONTICS FIXED ADVANCED THIRD PHASE (3RD ),تقويم معدني ثابت متقدم ( مرحلة ثالثة ),9058,4/17/24
541,ORTHODONTICS REMOVABLE SIMPLE APPLIANCE PHASE (1ST),تقويم متحرك بسيط ( مرحلة اولي ),4529,4/17/24
542,ORTHODONTICS REMOVABLE  SIMPLE APPLIANCE PHASE (2ND),تقويم متحرك بسيط ( مرحلة ثانية ),3024,4/17/24
543,ORTHODONTICS REMOVABLE ADVANCED APPLIANCE PHASE (1ST ),تقويم متحرك متقدم ( مرحلة اولي ),9058,4/17/24
544,ORTHODONTICS REMOVABLE ADVANCED APPLIANCE PHASE (2ND),تقويم متحرك متقدم ( مرحلة ثانية ),5285,4/17/24
545,ORTHOPEDIC APPLIANCE,جهاز توجيه النمو,12831,4/17/24
546,DISTALIZATION APPLIANCE,جهاز ازاحة الضروس للخلف,9058,4/17/24
547,ORTHODONTIC OBSERVATION & FOLLOW UP,متابعة تقويم شهري للاجهزة المثبتة,1211,4/17/24
548,ORTHODONTIC OBSERVATION FOR TEETH GUIDANCE,متابعه تقويميه لبزوغ الاسنان,756,4/17/24
549,REPAIR /ALTERATION / RECEMENTATION,اصلاح/ تعديل / اعادة تثبيت جهاز تقويم,756,4/17/24
550,LOWER INCLINED PLANE,جهاز تقويم وقائي بسيط,1134,4/17/24
551,REMOVABLE APPLIANCE WITH SCREW,جهاز تقويم متحرك لتوسيع الفك,6041,4/17/24
552,TWIN BLOCK ORTHO APPLIANCE,جهاز تقويم متحرك لتكبير الفك السفلي,5285,4/17/24
553,TWIN FORCE ORTHO APPLIANCE,جهاز تقويم ثابت لتكبير الفك السفلي,6041,4/17/24
554,ORAL SCREEN ORTHO APPLIANCE,جهاز تقويم متحرك لتحفيز التنفس من الانف,2268,4/17/24
555,CLASS III SPLINT ORTHODONTIC APPLIANCE,جهاز تقويم متحرك لمنع نمو الفك السفلي وتحفيز نمو الفك العلوي,6041,4/17/24
556,T4K READY MADE,جهاز تقويم جاهز ( مصنع سابقا ),3024,4/17/24
557,NANCE ORTHO APPLIANCE,جهاز تقويم ثابت حافظ لمسافة الفك العلوي,2268,4/17/24
